location_id,location_name,region,state,location_type
1,Tamworth Regional,New England and North West,NSW,Inner Regional Australia
2,Dubbo Regional,Far West and Orana,NSW,Inner Regional Australia
3,Lockhart,Riverina,NSW,Inner Regional Australia
4,Narromine,Far West and Orana,NSW,Outer Regional Australia
5,Newcastle,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
6,Eurobodalla,Capital Region,NSW,Inner Regional Australia
7,Tamworth Regional,New England and North West,NSW,Outer Regional Australia
8,Bathurst Regional,Central West,NSW,Inner Regional Australia
9,Wingecarribee,Southern Highlands and Shoalhaven,NSW,Inner Regional Australia
10,Cowra,Central West,NSW,Outer Regional Australia
11,Central Coast (NSW),Central Coast,NSW,Major Cities of Australia
12,Northern Beaches,Sydney - Northern Beaches,NSW,Major Cities of Australia
13,Unincorporated NSW,Far West and Orana,NSW,Remote Australia
14,Greater Hume Shire,Murray,NSW,Outer Regional Australia
15,Mid-Coast,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
16,Fairfield,Sydney - South West,NSW,Major Cities of Australia
17,Temora,Riverina,NSW,Outer Regional Australia
18,Lismore,Richmond - Tweed,NSW,Inner Regional Australia
19,Clarence Valley,Coffs Harbour - Grafton,NSW,Inner Regional Australia
20,Fairfield,Sydney - Parramatta,NSW,Major Cities of Australia
21,Hay,Murray,NSW,Remote Australia
22,Hilltops,Capital Region,NSW,Inner Regional Australia
23,Parramatta,Sydney - Ryde,NSW,Major Cities of Australia
24,Glen Innes Severn,New England and North West,NSW,Outer Regional Australia
25,Dubbo Regional,Far West and Orana,NSW,Outer Regional Australia
26,Clarence Valley,Coffs Harbour - Grafton,NSW,Outer Regional Australia
27,Parkes,Central West,NSW,Outer Regional Australia
28,Sutherland Shire,Sydney - Sutherland,NSW,Major Cities of Australia
29,Lake Macquarie,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
30,Ryde,Sydney - Ryde,NSW,Major Cities of Australia
31,Inner West,Sydney - Inner West,NSW,Major Cities of Australia
32,Coffs Harbour,Coffs Harbour - Grafton,NSW,Inner Regional Australia
33,Blacktown,Sydney - Blacktown,NSW,Major Cities of Australia
34,Cumberland,Sydney - Parramatta,NSW,Major Cities of Australia
35,Queanbeyan-Palerang Regional,Capital Region,NSW,Inner Regional Australia
36,Ballina,Richmond - Tweed,NSW,Inner Regional Australia
37,Wollongong,Illawarra,NSW,Major Cities of Australia
38,Moree Plains,New England and North West,NSW,Outer Regional Australia
39,Singleton,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
40,Mid-Coast,Mid North Coast,NSW,Outer Regional Australia
41,The Hills Shire,Sydney - Baulkham Hills and Hawkesbury,NSW,Major Cities of Australia
42,Snowy Valleys,Riverina,NSW,Outer Regional Australia
43,Goulburn Mulwaree,Capital Region,NSW,Inner Regional Australia
44,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
45,Cabonne,Central West,NSW,Outer Regional Australia
46,Tenterfield,New England and North West,NSW,Outer Regional Australia
47,Mid-Coast,Mid North Coast,NSW,Inner Regional Australia
48,Snowy Monaro Regional,Capital Region,NSW,Outer Regional Australia
49,Yass Valley,Capital Region,NSW,Inner Regional Australia
50,Campbelltown (NSW),Sydney - Outer South West,NSW,Major Cities of Australia
51,Muswellbrook,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
52,Federation,Murray,NSW,Outer Regional Australia
53,Shoalhaven,Capital Region,NSW,Inner Regional Australia
54,Lithgow,Central West,NSW,Inner Regional Australia
55,Queanbeyan-Palerang Regional,Capital Region,NSW,Major Cities of Australia
56,Wagga Wagga,Riverina,NSW,Inner Regional Australia
57,Cowra,Central West,NSW,Inner Regional Australia
58,Port Stephens,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
59,Wollongong,Illawarra,NSW,Inner Regional Australia
60,Willoughby,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
61,Parramatta,Sydney - Parramatta,NSW,Major Cities of Australia
62,Tweed,Richmond - Tweed,NSW,Inner Regional Australia
63,Tweed,Richmond - Tweed,NSW,Major Cities of Australia
64,Sutherland Shire,Sydney - Sutherland,NSW,Inner Regional Australia
65,Bland,Central West,NSW,Outer Regional Australia
66,Georges River,Sydney - Inner South West,NSW,Major Cities of Australia
67,Greater Hume Shire,Murray,NSW,Inner Regional Australia
68,Wentworth,Murray,NSW,Remote Australia
69,Singleton,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
70,Bellingen,Coffs Harbour - Grafton,NSW,Inner Regional Australia
71,Kempsey,Mid North Coast,NSW,Inner Regional Australia
72,Port Macquarie-Hastings,Mid North Coast,NSW,Inner Regional Australia
73,Carrathool,Riverina,NSW,Remote Australia
74,Bega Valley,Capital Region,NSW,Outer Regional Australia
75,Strathfield,Sydney - Inner West,NSW,Major Cities of Australia
76,Unincorporated NSW,Far West and Orana,NSW,Very Remote Australia
77,Liverpool,Sydney - South West,NSW,Major Cities of Australia
78,Narrandera,Riverina,NSW,Outer Regional Australia
79,Richmond Valley,Richmond - Tweed,NSW,Inner Regional Australia
80,Randwick,Sydney - Eastern Suburbs,NSW,Major Cities of Australia
81,Brewarrina,Far West and Orana,NSW,Very Remote Australia
82,Weddin,Central West,NSW,Outer Regional Australia
83,Hornsby,Sydney - North Sydney and Hornsby,NSW,Inner Regional Australia
84,Gilgandra,Far West and Orana,NSW,Outer Regional Australia
85,Sydney,Sydney - City and Inner South,NSW,Major Cities of Australia
86,Murrumbidgee,Murray,NSW,Outer Regional Australia
87,Hilltops,Capital Region,NSW,Outer Regional Australia
88,Port Macquarie-Hastings,Mid North Coast,NSW,Outer Regional Australia
89,Moree Plains,New England and North West,NSW,Remote Australia
90,Lachlan,Central West,NSW,Remote Australia
91,Upper Hunter Shire,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
92,Shellharbour,Illawarra,NSW,Major Cities of Australia
93,Mid-Western Regional,Central West,NSW,Outer Regional Australia
94,Blue Mountains,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
95,Canterbury-Bankstown,Sydney - Inner South West,NSW,Major Cities of Australia
96,Kyogle,Richmond - Tweed,NSW,Inner Regional Australia
97,Armidale Regional,New England and North West,NSW,Outer Regional Australia
98,Armidale Regional,New England and North West,NSW,Inner Regional Australia
99,Narrabri,New England and North West,NSW,Outer Regional Australia
100,Upper Lachlan Shire,Capital Region,NSW,Inner Regional Australia
101,Forbes,Central West,NSW,Outer Regional Australia
102,Nambucca Valley,Mid North Coast,NSW,Inner Regional Australia
103,Balranald,Murray,NSW,Outer Regional Australia
104,Penrith,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
105,Central Coast (NSW),Central Coast,NSW,Inner Regional Australia
106,Kiama,Illawarra,NSW,Inner Regional Australia
107,Leeton,Riverina,NSW,Outer Regional Australia
108,Penrith,Sydney - South West,NSW,Major Cities of Australia
109,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,Outer Regional Australia
110,Woollahra,Sydney - Eastern Suburbs,NSW,Major Cities of Australia
111,Maitland,Hunter Valley exc Newcastle,NSW,Major Cities of Australia
112,Edward River,Murray,NSW,Outer Regional Australia
113,Wollondilly,Sydney - Outer South West,NSW,Inner Regional Australia
114,Cessnock,Hunter Valley exc Newcastle,NSW,Major Cities of Australia
115,Shoalhaven,Southern Highlands and Shoalhaven,NSW,Inner Regional Australia
116,Liverpool Plains,New England and North West,NSW,Outer Regional Australia
117,Camden,Sydney - South West,NSW,Major Cities of Australia
118,Bellingen,Coffs Harbour - Grafton,NSW,Outer Regional Australia
119,Lake Macquarie,Newcastle and Lake Macquarie,NSW,Inner Regional Australia
120,Canada Bay,Sydney - Inner West,NSW,Major Cities of Australia
121,North Sydney,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
122,Waverley,Sydney - Eastern Suburbs,NSW,Major Cities of Australia
123,Ku-ring-gai,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
124,Hawkesbury,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
125,Sydney,Sydney - Eastern Suburbs,NSW,Major Cities of Australia
126,Gunnedah,New England and North West,NSW,Outer Regional Australia
127,Cabonne,Far West and Orana,NSW,Outer Regional Australia
128,Inverell,New England and North West,NSW,Outer Regional Australia
129,Hornsby,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
130,Byron,Richmond - Tweed,NSW,Inner Regional Australia
131,Albury,Murray,NSW,Inner Regional Australia
132,Hunters Hill,Sydney - Ryde,NSW,Major Cities of Australia
133,Camden,Sydney - Outer South West,NSW,Major Cities of Australia
134,Eurobodalla,Capital Region,NSW,Outer Regional Australia
135,Hornsby,Sydney - Ryde,NSW,Major Cities of Australia
136,Murray River,Murray,NSW,Outer Regional Australia
137,Narrabri,New England and North West,NSW,Remote Australia
138,Warrumbungle Shire,Far West and Orana,NSW,Outer Regional Australia
139,Bayside (NSW),Sydney - Inner South West,NSW,Major Cities of Australia
140,Oberon,Central West,NSW,Inner Regional Australia
141,Port Stephens,Hunter Valley exc Newcastle,NSW,Major Cities of Australia
142,Walcha,New England and North West,NSW,Outer Regional Australia
143,Orange,Central West,NSW,Inner Regional Australia
144,Bogan,Far West and Orana,NSW,Remote Australia
145,Sutherland Shire,Sydney - Outer South West,NSW,Inner Regional Australia
146,Dungog,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
147,Maitland,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
148,Griffith,Riverina,NSW,Outer Regional Australia
149,Murrumbidgee,Riverina,NSW,Outer Regional Australia
150,Junee,Riverina,NSW,Outer Regional Australia
151,Lane Cove,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
152,Cabonne,Central West,NSW,Inner Regional Australia
153,Kempsey,Mid North Coast,NSW,Outer Regional Australia
154,Cobar,Far West and Orana,NSW,Very Remote Australia
155,Coolamon,Riverina,NSW,Outer Regional Australia
156,Gwydir,New England and North West,NSW,Outer Regional Australia
157,Cessnock,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
158,Gold Coast,Gold Coast,QLD,Major Cities of Australia
159,Mackay,Mackay - Isaac - Whitsunday,QLD,Outer Regional Australia
160,Toowoomba,Toowoomba,QLD,Inner Regional Australia
161,Isaac,Mackay - Isaac - Whitsunday,QLD,Remote Australia
162,Moreton Bay,Moreton Bay - North,QLD,Major Cities of Australia
163,Cairns,Cairns,QLD,Outer Regional Australia
164,Banana,Central Queensland,QLD,Outer Regional Australia
165,Longreach,Queensland - Outback,QLD,Very Remote Australia
166,Sunshine Coast,Sunshine Coast,QLD,Major Cities of Australia
167,Logan,Logan - Beaudesert,QLD,Major Cities of Australia
168,Scenic Rim,Ipswich,QLD,Inner Regional Australia
169,Ipswich,Ipswich,QLD,Major Cities of Australia
170,Sunshine Coast,Sunshine Coast,QLD,Inner Regional Australia
171,Carpentaria,Queensland - Outback,QLD,Very Remote Australia
172,Townsville,Townsville,QLD,Outer Regional Australia
173,Moreton Bay,Moreton Bay - South,QLD,Major Cities of Australia
174,Rockhampton,Central Queensland,QLD,Inner Regional Australia
175,Noosa,Sunshine Coast,QLD,Inner Regional Australia
176,Fraser Coast,Wide Bay,QLD,Inner Regional Australia
177,Brisbane,Brisbane - North,QLD,Major Cities of Australia
178,Whitsunday,Mackay - Isaac - Whitsunday,QLD,Outer Regional Australia
179,Gympie,Wide Bay,QLD,Inner Regional Australia
180,Central Highlands (Qld),Central Queensland,QLD,Outer Regional Australia
181,Gladstone,Central Queensland,QLD,Inner Regional Australia
182,Somerset,Ipswich,QLD,Inner Regional Australia
183,Brisbane,Brisbane - West,QLD,Major Cities of Australia
184,Wentworth,Murray,NSW,Outer Regional Australia
185,Cootamundra-Gundagai Regional,Riverina,NSW,Inner Regional Australia
186,Canterbury-Bankstown,Sydney - Parramatta,NSW,Major Cities of Australia
187,Bayside (NSW),Sydney - City and Inner South,NSW,Major Cities of Australia
188,Inner West,Sydney - City and Inner South,NSW,Major Cities of Australia
189,Berrigan,Murray,NSW,Outer Regional Australia
190,Berrigan,Murray,NSW,Inner Regional Australia
191,Warren,Far West and Orana,NSW,Remote Australia
192,Blayney,Central West,NSW,Inner Regional Australia
193,Port Stephens,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
194,Mid-Western Regional,Central West,NSW,Inner Regional Australia
195,Goulburn Mulwaree,Capital Region,NSW,Outer Regional Australia
196,Upper Hunter Shire,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
197,Shellharbour,Illawarra,NSW,Inner Regional Australia
198,Wagga Wagga,Riverina,NSW,Outer Regional Australia
199,Blue Mountains,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
200,Penrith,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
201,Burwood,Sydney - Inner West,NSW,Major Cities of Australia
202,Walgett,Far West and Orana,NSW,Remote Australia
203,Cootamundra-Gundagai Regional,Riverina,NSW,Outer Regional Australia
204,Snowy Valleys,Riverina,NSW,Inner Regional Australia
205,Oberon,Central West,NSW,Outer Regional Australia
206,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,Major Cities of Australia
207,Snowy Monaro Regional,Capital Region,NSW,Inner Regional Australia
208,Federation,Murray,NSW,Inner Regional Australia
209,Nambucca Valley,Mid North Coast,NSW,Outer Regional Australia
210,Lithgow,Central West,NSW,Outer Regional Australia
211,Balranald,Murray,NSW,Remote Australia
212,Doomadgee,Queensland - Outback,QLD,Very Remote Australia
213,Redland,Brisbane - East,QLD,Major Cities of Australia
214,Logan,Logan - Beaudesert,QLD,Inner Regional Australia
215,Bundaberg,Wide Bay,QLD,Inner Regional Australia
216,Mackay,Mackay - Isaac - Whitsunday,QLD,Inner Regional Australia
217,Brisbane,Brisbane - East,QLD,Major Cities of Australia
218,Brisbane,Brisbane - South,QLD,Major Cities of Australia
219,Western Downs,Darling Downs - Maranoa,QLD,Outer Regional Australia
220,Scenic Rim,Logan - Beaudesert,QLD,Inner Regional Australia
221,Croydon,Queensland - Outback,QLD,Very Remote Australia
222,Gladstone,Central Queensland,QLD,Outer Regional Australia
223,Hope Vale,Queensland - Outback,QLD,Remote Australia
224,Richmond Valley,Richmond - Tweed,NSW,Outer Regional Australia
225,Wollondilly,Illawarra,NSW,Inner Regional Australia
226,Southern Downs,Darling Downs - Maranoa,QLD,Inner Regional Australia
227,Toowoomba,Darling Downs - Maranoa,QLD,Inner Regional Australia
228,Cassowary Coast,Cairns,QLD,Outer Regional Australia
229,North Burnett,Wide Bay,QLD,Outer Regional Australia
230,Mount Isa,Queensland - Outback,QLD,Remote Australia
231,Isaac,Mackay - Isaac - Whitsunday,QLD,Outer Regional Australia
232,Western Downs,Darling Downs - Maranoa,QLD,Inner Regional Australia
233,Scenic Rim,Logan - Beaudesert,QLD,Outer Regional Australia
234,Charters Towers,Townsville,QLD,Outer Regional Australia
235,Moreton Bay,Moreton Bay - North,QLD,Inner Regional Australia
236,Blayney,Central West,NSW,Outer Regional Australia
237,Gympie,Wide Bay,QLD,Outer Regional Australia
238,Livingstone,Central Queensland,QLD,Inner Regional Australia
239,Moreton Bay,Moreton Bay - South,QLD,Inner Regional Australia
240,Cloncurry,Queensland - Outback,QLD,Very Remote Australia
241,Brisbane,Brisbane Inner City,QLD,Major Cities of Australia
242,Brisbane,Ipswich,QLD,Major Cities of Australia
243,Central Darling,Far West and Orana,NSW,Very Remote Australia
244,Junee,Riverina,NSW,Inner Regional Australia
245,Bogan,Far West and Orana,NSW,Very Remote Australia
246,The Hills Shire,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
247,South Burnett,Wide Bay,QLD,Inner Regional Australia
248,Mareeba,Queensland - Outback,QLD,Very Remote Australia
249,Central Highlands (Qld),Central Queensland,QLD,Remote Australia
250,Douglas,Cairns,QLD,Outer Regional Australia
251,Ipswich,Ipswich,QLD,Inner Regional Australia
252,McKinlay,Queensland - Outback,QLD,Very Remote Australia
253,South Gippsland,Latrobe - Gippsland,VIC,Inner Regional Australia
254,Melton,Melbourne - West,VIC,Major Cities of Australia
255,Corangamite,Warrnambool and South West,VIC,Inner Regional Australia
256,Mornington Peninsula,Mornington Peninsula,VIC,Major Cities of Australia
257,Yarra Ranges,Melbourne - Outer East,VIC,Major Cities of Australia
258,Whittlesea,Melbourne - North East,VIC,Major Cities of Australia
259,Greater Geelong,Geelong,VIC,Major Cities of Australia
260,Maroondah,Melbourne - Outer East,VIC,Major Cities of Australia
261,Latrobe (Vic.),Latrobe - Gippsland,VIC,Inner Regional Australia
262,Stonnington,Melbourne - Inner,VIC,Major Cities of Australia
263,Warrnambool,Warrnambool and South West,VIC,Inner Regional Australia
264,Monash,Melbourne - South East,VIC,Major Cities of Australia
265,Murrindindi,Melbourne - North East,VIC,Inner Regional Australia
266,Greater Geelong,Geelong,VIC,Inner Regional Australia
267,Loddon,Bendigo,VIC,Inner Regional Australia
268,Greater Shepparton,Shepparton,VIC,Inner Regional Australia
269,Macedon Ranges,Bendigo,VIC,Inner Regional Australia
270,Mildura,North West,VIC,Outer Regional Australia
271,Towong,Hume,VIC,Outer Regional Australia
272,Greater Bendigo,Bendigo,VIC,Inner Regional Australia
273,Moorabool,Ballarat,VIC,Inner Regional Australia
274,Macedon Ranges,Melbourne - North West,VIC,Inner Regional Australia
275,Golden Plains,Geelong,VIC,Inner Regional Australia
276,Kingston (Vic.),Melbourne - South East,VIC,Major Cities of Australia
277,Glenelg,Warrnambool and South West,VIC,Outer Regional Australia
278,Knox,Melbourne - Outer East,VIC,Major Cities of Australia
279,Darebin,Melbourne - North East,VIC,Major Cities of Australia
280,Wyndham,Melbourne - West,VIC,Major Cities of Australia
281,Tablelands,Cairns,QLD,Outer Regional Australia
282,Noosa,Sunshine Coast,QLD,Major Cities of Australia
283,Maranoa,Darling Downs - Maranoa,QLD,Remote Australia
284,South Burnett,Wide Bay,QLD,Outer Regional Australia
285,Hinchinbrook,Townsville,QLD,Outer Regional Australia
286,Liverpool,Sydney - South West,NSW,Inner Regional Australia
287,Uralla,New England and North West,NSW,Inner Regional Australia
288,Northern Beaches,Sydney - Northern Beaches,NSW,Inner Regional Australia
289,Uralla,New England and North West,NSW,Outer Regional Australia
290,Kyogle,Richmond - Tweed,NSW,Outer Regional Australia
291,Strathbogie,Hume,VIC,Inner Regional Australia
292,Nillumbik,Melbourne - North East,VIC,Inner Regional Australia
293,Brimbank,Melbourne - West,VIC,Major Cities of Australia
294,Moyne,Warrnambool and South West,VIC,Inner Regional Australia
295,Ararat,North West,VIC,Inner Regional Australia
296,Greater Dandenong,Melbourne - South East,VIC,Major Cities of Australia
297,East Gippsland,Latrobe - Gippsland,VIC,Outer Regional Australia
299,Cardinia,Melbourne - South East,VIC,Inner Regional Australia
300,Melbourne,Melbourne - Inner,VIC,Major Cities of Australia
301,Horsham,North West,VIC,Outer Regional Australia
302,Moira,Shepparton,VIC,Inner Regional Australia
303,Wellington,Latrobe - Gippsland,VIC,Inner Regional Australia
304,Ballarat,Ballarat,VIC,Inner Regional Australia
305,Colac Otway,Warrnambool and South West,VIC,Inner Regional Australia
306,Bayside (Vic.),Melbourne - Inner South,VIC,Major Cities of Australia
307,East Gippsland,Latrobe - Gippsland,VIC,Remote Australia
308,Cardinia,Melbourne - South East,VIC,Major Cities of Australia
309,Frankston,Mornington Peninsula,VIC,Major Cities of Australia
310,Warrumbungle Shire,Central West,NSW,Outer Regional Australia
311,Bourke,Far West and Orana,NSW,Very Remote Australia
312,Bathurst Regional,Central West,NSW,Outer Regional Australia
313,The Hills Shire,Sydney - Parramatta,NSW,Major Cities of Australia
314,Muswellbrook,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
315,Federation,Riverina,NSW,Outer Regional Australia
316,Carrathool,Riverina,NSW,Outer Regional Australia
317,Upper Lachlan Shire,Capital Region,NSW,Outer Regional Australia
318,Richmond Valley,Coffs Harbour - Grafton,NSW,Outer Regional Australia
319,Coolamon,Riverina,NSW,Inner Regional Australia
320,Northern Grampians,North West,VIC,Outer Regional Australia
321,Corangamite,Warrnambool and South West,VIC,Outer Regional Australia
322,Indigo,Hume,VIC,Inner Regional Australia
323,West Wimmera,North West,VIC,Outer Regional Australia
324,Campaspe,Shepparton,VIC,Inner Regional Australia
325,Benalla,Hume,VIC,Outer Regional Australia
326,Buloke,North West,VIC,Outer Regional Australia
327,Southern Grampians,Warrnambool and South West,VIC,Outer Regional Australia
328,Manningham,Melbourne - Outer East,VIC,Major Cities of Australia
329,Whitehorse,Melbourne - Inner East,VIC,Major Cities of Australia
330,Wellington,Latrobe - Gippsland,VIC,Outer Regional Australia
331,Casey,Melbourne - South East,VIC,Major Cities of Australia
332,Rockhampton,Central Queensland,QLD,Outer Regional Australia
333,Gold Coast,Gold Coast,QLD,Inner Regional Australia
334,Charters Towers,Townsville,QLD,Very Remote Australia
335,Cook,Queensland - Outback,QLD,Very Remote Australia
336,Toowoomba,Darling Downs - Maranoa,QLD,Outer Regional Australia
337,Mitchell,Hume,VIC,Inner Regional Australia
338,Pyrenees,Ballarat,VIC,Inner Regional Australia
339,Mount Alexander,Bendigo,VIC,Inner Regional Australia
340,Yarra Ranges,Melbourne - Outer East,VIC,Inner Regional Australia
341,Stonnington,Melbourne - Inner South,VIC,Major Cities of Australia
342,Darebin,Melbourne - Inner,VIC,Major Cities of Australia
343,Whitehorse,Melbourne - Outer East,VIC,Major Cities of Australia
344,Ararat,North West,VIC,Outer Regional Australia
345,Kingston (Vic.),Melbourne - Inner South,VIC,Major Cities of Australia
346,Hobsons Bay,Melbourne - West,VIC,Major Cities of Australia
347,Mansfield,Hume,VIC,Outer Regional Australia
348,Somerset,Moreton Bay - North,QLD,Outer Regional Australia
349,Flinders (Qld),Queensland - Outback,QLD,Very Remote Australia
350,Livingstone,Central Queensland,QLD,Remote Australia
351,Bass Coast,Latrobe - Gippsland,VIC,Inner Regional Australia
352,Hume,Melbourne - North West,VIC,Major Cities of Australia
353,Glen Eira,Melbourne - Inner South,VIC,Major Cities of Australia
354,Maribyrnong,Melbourne - West,VIC,Major Cities of Australia
355,Lockyer Valley,Toowoomba,QLD,Inner Regional Australia
356,Whitsunday,Mackay - Isaac - Whitsunday,QLD,Remote Australia
357,Wollondilly,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
358,Surf Coast,Geelong,VIC,Inner Regional Australia
359,Baw Baw,Latrobe - Gippsland,VIC,Inner Regional Australia
360,Casey,Melbourne - South East,VIC,Inner Regional Australia
361,Moonee Valley,Melbourne - Inner,VIC,Major Cities of Australia
362,Boroondara,Melbourne - Inner East,VIC,Major Cities of Australia
363,Burdekin,Townsville,QLD,Outer Regional Australia
364,Cassowary Coast,Cairns,QLD,Remote Australia
365,Goondiwindi,Darling Downs - Maranoa,QLD,Outer Regional Australia
366,Western Downs,Darling Downs - Maranoa,QLD,Remote Australia
367,Murweh,Queensland - Outback,QLD,Very Remote Australia
368,Bundaberg,Wide Bay,QLD,Outer Regional Australia
369,Yarriambiack,North West,VIC,Outer Regional Australia
370,Whittlesea,Melbourne - North East,VIC,Inner Regional Australia
371,Murrindindi,Hume,VIC,Inner Regional Australia
372,Moyne,Warrnambool and South West,VIC,Outer Regional Australia
373,Mornington Peninsula,Mornington Peninsula,VIC,Inner Regional Australia
374,Loddon,Bendigo,VIC,Outer Regional Australia
375,Hepburn,Ballarat,VIC,Inner Regional Australia
376,Lockyer Valley,Ipswich,QLD,Inner Regional Australia
377,Mareeba,Queensland - Outback,QLD,Outer Regional Australia
378,Barcoo,Queensland - Outback,QLD,Very Remote Australia
379,Wingecarribee,Sydney - Outer South West,NSW,Inner Regional Australia
380,Walgett,Far West and Orana,NSW,Very Remote Australia
381,Moorabool,Melbourne - West,VIC,Inner Regional Australia
382,Moira,Shepparton,VIC,Outer Regional Australia
383,Port Phillip,Melbourne - Inner,VIC,Major Cities of Australia
384,Moreland,Melbourne - North West,VIC,Major Cities of Australia
385,Yass Valley,Capital Region,NSW,Major Cities of Australia
386,Murray River,Murray,NSW,Remote Australia
387,Coonamble,Far West and Orana,NSW,Remote Australia
388,Randwick,Sydney - City and Inner South,NSW,Major Cities of Australia
389,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
390,Kiama,Illawarra,NSW,Major Cities of Australia
391,Lockhart,Riverina,NSW,Outer Regional Australia
392,Cobar,Far West and Orana,NSW,Remote Australia
393,Queanbeyan-Palerang Regional,Capital Region,NSW,Outer Regional Australia
394,Gannawarra,North West,VIC,Outer Regional Australia
395,Wyndham,Melbourne - West,VIC,Inner Regional Australia
396,Hindmarsh,North West,VIC,Outer Regional Australia
397,Wangaratta,Hume,VIC,Inner Regional Australia
398,Unincorporated Vic,Latrobe - Gippsland,VIC,Outer Regional Australia
399,Mitchell,Melbourne - North East,VIC,Inner Regional Australia
400,Colac Otway,Warrnambool and South West,VIC,Outer Regional Australia
401,Brisbane,Ipswich,QLD,Inner Regional Australia
402,Scenic Rim,Gold Coast,QLD,Inner Regional Australia
403,Charters Towers,Townsville,QLD,Remote Australia
404,Etheridge,Queensland - Outback,QLD,Very Remote Australia
405,Redland,Brisbane - East,QLD,Remote Australia
406,Mount Isa,Queensland - Outback,QLD,Very Remote Australia
407,Hornsby,Sydney - Baulkham Hills and Hawkesbury,NSW,Major Cities of Australia
408,Yarra,Melbourne - Inner,VIC,Major Cities of Australia
409,Towong,Hume,VIC,Inner Regional Australia
410,Hay,Murray,NSW,Outer Regional Australia
411,Mareeba,Cairns,QLD,Outer Regional Australia
412,Central Highlands (Qld),Central Queensland,QLD,Very Remote Australia
413,Mosman,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
414,Banyule,Melbourne - North East,VIC,Major Cities of Australia
415,Moonee Valley,Melbourne - North West,VIC,Major Cities of Australia
416,Manningham,Melbourne - Inner East,VIC,Major Cities of Australia
417,Liverpool,Sydney - Outer West and Blue Mountains,NSW,Inner Regional Australia
418,Cook,Queensland - Outback,QLD,Remote Australia
419,Banana,Central Queensland,QLD,Remote Australia
420,Southern Grampians,Warrnambool and South West,VIC,Inner Regional Australia
421,Northern Grampians,North West,VIC,Inner Regional Australia
